epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.2104,0.8447,2.85734,0.97773,0.98429,0.90946,0.91949,0.7687,0.67224,0.5602,0.88827,0.000175111,0.000175111,0.000175111
2,130.281,0.70765,1.03511,0.90689,0.91065,0.9122,0.91959,0.78257,0.63073,0.46472,0.88224,0.00031575,0.00031575,0.00031575
3,192.507,0.66429,0.62724,0.89252,0.93436,0.92696,0.93311,0.80548,0.59103,0.42818,0.86535,0.000421674,0.000421674,0.000421674
4,254.51,0.62484,0.48183,0.87904,0.93052,0.96926,0.95389,0.84255,0.5529,0.37007,0.85915,0.000369778,0.000369778,0.000369778
5,316.277,0.5672,0.39837,0.86099,0.94446,0.98569,0.9572,0.85792,0.5042,0.32246,0.8479,0.000317704,0.000317704,0.000317704
6,378.088,0.52991,0.35094,0.85158,0.95696,0.95899,0.95464,0.87349,0.46427,0.29566,0.83414,0.00026563,0.00026563,0.00026563
7,439.81,0.48881,0.31463,0.83984,0.94582,0.97368,0.95782,0.87935,0.46233,0.27962,0.8273,0.000213556,0.000213556,0.000213556
8,501.627,0.45637,0.28766,0.83003,0.97963,0.97279,0.96027,0.89631,0.41375,0.25498,0.8201,0.000161482,0.000161482,0.000161482
9,562.414,0.42583,0.26497,0.82138,0.98126,0.9861,0.98018,0.92475,0.38743,0.23292,0.81404,0.000109408,0.000109408,0.000109408
10,624.333,0.39639,0.24669,0.81319,0.98188,0.98565,0.98019,0.93374,0.36479,0.2193,0.80843,5.7334e-05,5.7334e-05,5.7334e-05
